0,0,32
0,9,102
10,11,64
0,11,102
0,12,102
0,13,102
14,4,50
0,15,102
0,7,50
9,15,35
11,14,37
11,15,35
12,15,35
13,15,35
14,15,35
0,15,32
0,0,32
0,7,64
0,7,35
0,7,35
0,7,109
0,7,50
0,7,61
0,7,32
0,8,34
0,8,32
0,15,102
0,15,122
0,15,33
0,15,46
0,15,32
0,15,32
0,9,32
9,13,35
9,13,37
9,13,41
0,13,32
12,13,41
12,13,37
12,13,35
0,12,32
6,12,57
6,12,64
6,14,35
0,14,32
10,14,61
10,14,57
10,14,35
10,11,64
10,11,35
10,11,57
10,11,61
0,11,32
9,11,41
9,11,37
9,11,35
9,15,37
9,15,48
9,15,119
13,15,37
13,15,37
13,15,37
12,15,119
12,15,48
12,15,37
12,15,48
6,15,81
6,15,36
14,15,37
14,15,37
11,14,119
11,14,103
11,14,37
11,14,35
11,14,35
11,15,37
11,15,37
11,15,37
9,15,119
9,15,48
9,15,122
9,15,40
9,15,61
13,15,122
13,15,122
13,15,122
12,15,61
12,15,40
12,15,122
12,15,40
6,15,49
6,15,41
14,15,122
14,15,122
14,15,55
10,15,33
10,15,40
10,15,33
3,15,47
11,15,122
11,15,122
11,15,122
9,15,61
9,15,40
0,1,34
1,4,64
1,12,64
4,9,35
0,5,34
1,12,35
4,9,64
1,4,34
0,4,34
4,10,64
2,12,35
0,6,35
0,14,35
6,2,51
2,6,64
10,12,64
0,10,46
9,10,46
2,3,35
2,3,56
0,3,34
9,10,56
2,9,35
1,10,64
1,14,64
1,14,35
1,6,35
2,13,35
2,13,35
2,13,35
1,6,35
4,11,35
4,11,64
4,11,35
1,6,81
1,6,87
1,14,35
1,14,35
2,7,48
2,7,81
2,7,35
2,7,81
2,7,48
3,12,64
3,12,64
3,12,64
3,12,35
1,14,35
1,14,35
10,13,35
10,13,35
13,10,56
10,13,35
13,10,56
10,13,35
3,12,35
3,12,35
3,12,35
1,14,35
1,14,35
1,14,35
1,14,35
1,14,35
2,7,50
2,7,53
2,7,50
4,11,35
4,11,35
4,11,35
4,11,35
4,11,35
4,11,35
0,1,81
0,1,81
0,5,35
0,5,35
0,5,81
0,5,35
0,5,35
0,4,81
0,4,81
0,4,81
0,6,35
2,4,81
0,14,35
2,4,35
2,4,35
0,2,102
0,2,102
0,2,102
1,2,122
1,2,113
0,3,81
1,2,37
1,2,35
0,1,81
0,7,35
0,7,35
0,7,35
2,5,37
2,5,37
2,5,37
0,7,35
0,7,35
0,7,35
0,7,35
0,7,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
0,7,35
0,7,35
0,7,35
0,7,35
2,5,35
2,5,81
2,5,81
2,5,81
2,5,35
0,7,35
0,7,35
0,7,35
0,7,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
2,5,35
0,7,35
0,7,35
0,0,32
0,0,32
0,0,32
0,0,32
0,0,32
0,0,32
0,0,32
0,0,32
